2020-06-09-17-29-29	=============== Application Start ==============
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	repicking object : 0
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	dxl wait start
2020-06-09-17-29-32	dxl wait finish
2020-06-09-17-29-32	grip wait start
2020-06-09-17-29-32	grip wait finish
2020-06-09-17-29-32	dxl wait start
